Instance,Language,Shapiro Stat,p-value,Normal
bayg29,C++,0.903825581073761,0.04867110401391983,False
bayg29,Julia,0.5495403409004211,9.222598578162433e-07,False
bays29,C++,0.9496741890907288,0.3621710240840912,True
bays29,Julia,0.7954434156417847,0.0007394131389446557,False
burma14,C++,0.9194036722183228,0.09650126844644547,True
burma14,Julia,0.7185757160186768,6.625856622122228e-05,False
gr17,C++,0.909665048122406,0.0628056526184082,True
gr17,Julia,0.5247142314910889,5.361862918107363e-07,False
gr21,C++,0.8684844374656677,0.0110513586550951,False
gr21,Julia,0.6859380602836609,2.6400604838272557e-05,False
gr24,C++,0.9557912349700928,0.46355339884757996,True
gr24,Julia,0.9127334356307983,0.07187120616436005,True
