Instance,Test,Language,Time
bayg29,7,Julia,10656
bayg29,8,Julia,11303
bayg29,9,Julia,3274
bayg29,10,Julia,13372
bayg29,11,Julia,3157
bayg29,12,Julia,9743
bayg29,13,Julia,10627
bayg29,14,Julia,2587
bayg29,15,Julia,7498
bayg29,16,Julia,8793
bayg29,17,Julia,90467
bayg29,18,Julia,18311
bayg29,19,Julia,16304
bayg29,20,Julia,6778
