2234;2213.0
5616;2423.0
5711;2544.0
19577;2206.0
23021;2347.0
22754;2473.0
7603;2335.0
5373;2298.0
9544;2275.0
13045;2088.0
2573;2324.0
17856;2264.0
10064;2145.0
49665;2119.0
12814;2409.0
10009;2372.0
48738;2146.0
44227;2185.0
49217;2294.0
5025;2332.0
0;2050.0
0;2046.0
-1;2340.0
0;2345.0
0;2233.0
0;2374.0
0;2157.0
0;2265.0
0;2197.0
0;2405.0
-1;2125.0
0;2265.0
0;2125.0
0;2241.0
0;2197.0
0;2317.0
0;2173.0
0;2227.0
0;2159.0
0;2218.0
25217;2020.0
52188;2476.0
2818;2287.0
2069;2409.0
3959;2065.0
3093;2384.0
10017;2161.0
38125;2198.0
33511;2182.0
3543;2410.0
17375;2020.0
18250;2431.0
38539;2117.0
23497;2551.0
39527;2204.0
15337;2133.0
34748;2363.0
5996;2386.0
3048;2198.0
35930;2279.0
