1408;2184
868;2154
2139;2090
2643;2159
1526;2149
656;2153
1745;2184
468;2184
880;2210
1668;2085
2778;2085
755;2149
998;2085
1347;2184
537;2090
777;2184
1574;2149
579;2149
835;2149
2285;2153
562;2085
1615;2136
1676;2210
1113;2184
1875;2085
902;2120
683;2184
618;2210
1366;2085
4310;2153
1553;2085
683;2120
1073;2085
794;2210
923;2085
680;2184
1147;2210
665;2149
1696;2090
743;2085
503;2184
3890;2154
2094;2085
2077;2085
1067;2153
1375;2153
1225;2184
1006;2184
1562;2153
2182;2120
1659;2103
839;2154
2952;2153
705;2153
1443;2085
1910;2103
846;2120
561;2559
1736;2090
912;2184
